1850	7.90	14.87
1851	8.18	14.99
1852	8.10	15.01
1853	8.04	14.96
1854	8.21	14.99
1855	8.11	15.02
1856	8.00	14.88
1857	7.76	14.76
1858	8.10	14.88
1859	8.25	14.93
1860	7.96	14.88
1861	7.85	14.80
1862	7.56	14.74
1863	8.11	14.94
1864	7.98	14.90
1865	8.18	15.00
1866	8.29	15.06
1867	8.44	15.06
1868	8.25	15.10
1869	8.43	15.07
1870	8.20	15.00
1871	8.12	15.01
1872	8.19	15.02
1873	8.35	15.05
1874	8.43	14.96
1875	7.86	14.92
1876	8.08	14.91
1877	8.54	15.28
1878	8.83	15.36
1879	8.17	15.06
1880	8.12	15.01
1881	8.27	15.09
1882	8.13	15.06
1883	7.98	14.96
1884	7.77	14.83
1885	7.92	14.85
1886	7.95	14.84
1887	7.91	14.82
1888	8.09	14.99
1889	8.32	15.11
1890	7.97	14.84
1891	8.02	14.94
1892	8.07	14.88
1893	8.06	14.91
1894	8.16	14.91
1895	8.15	14.97
1896	8.21	15.09
1897	8.29	15.08
1898	8.18	14.89
1899	8.40	15.05
1900	8.50	15.14
1901	8.54	15.07
1902	8.30	14.96
1903	8.22	14.84
1904	8.09	14.81
1905	8.23	14.95
1906	8.38	15.03
1907	7.95	14.87
1908	8.19	14.84
1909	8.18	14.79
1910	8.22	14.82
1911	8.18	14.78
1912	8.17	14.88
1913	8.30	14.91
1914	8.59	15.08
1915	8.59	15.14
1916	8.23	14.90
1917	8.02	14.81
1918	8.13	14.96
1919	8.38	15.01
1920	8.36	15.03
1921	8.57	15.10
1922	8.41	15.01
1923	8.42	15.03
1924	8.51	15.04
1925	8.53	15.09
1926	8.73	15.24
1927	8.52	15.12
1928	8.63	15.13
1929	8.24	14.97
1930	8.63	15.17
1931	8.72	15.23
1932	8.71	15.19
1933	8.34	15.01
1934	8.63	15.14
1935	8.52	15.12
1936	8.55	15.17
1937	8.70	15.30
1938	8.86	15.29
1939	8.76	15.30
1940	8.76	15.37
1941	8.77	15.38
1942	8.73	15.33
1943	8.76	15.35
1944	8.85	15.45
1945	8.58	15.33
1946	8.68	15.26
1947	8.80	15.31
1948	8.75	15.26
1949	8.59	15.22
1950	8.37	15.14
1951	8.63	15.31
1952	8.64	15.36
1953	8.87	15.42
1954	8.56	15.23
1955	8.63	15.17
1956	8.28	15.11
1957	8.73	15.37
1958	8.77	15.38
1959	8.73	15.34
1960	8.58	15.29
1961	8.80	15.38
1962	8.75	15.33
1963	8.86	15.38
1964	8.41	15.12
1965	8.53	15.20
1966	8.60	15.26
1967	8.70	15.29
1968	8.52	15.26
1969	8.60	15.39
1970	8.70	15.33
1971	8.60	15.20
1972	8.50	15.29
1973	8.95	15.40
1974	8.47	15.17
1975	8.74	15.24
1976	8.35	15.13
1977	8.85	15.41
1978	8.69	15.30
1979	8.73	15.41
1980	8.98	15.49
1981	9.17	15.52
1982	8.64	15.34
1983	9.03	15.52
1984	8.69	15.34
1985	8.66	15.34
1986	8.83	15.38
1987	8.99	15.52
1988	9.20	15.56
1989	8.92	15.44
1990	9.23	15.63
1991	9.18	15.60
1992	8.84	15.45
1993	8.87	15.47
1994	9.04	15.53
1995	9.35	15.64
1996	9.04	15.52
1997	9.20	15.71
1998	9.52	15.83
1999	9.29	15.60
2000	9.20	15.61
2001	9.41	15.77
2002	9.57	15.83
2003	9.53	15.83
2004	9.32	15.76
2005	9.70	15.88
2006	9.53	15.81
2007	9.73	15.83
2008	9.43	15.72
2009	9.51	15.83
2010	9.70	15.90
2011	9.52	15.77
2012	9.51	15.80
2013	9.61	15.85
2014	9.57	15.91
2015	9.83	16.06
